unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1760486400,2025-10-15 00:00:00,ETH/USD,4126.73,4133.87,4124.55,4129.93,47.297774,195336.49577582
1760400000,2025-10-14 00:00:00,ETH/USD,4244.29,4266.99,3891.80,4126.87,41125.443820,169719360.3374434
1760313600,2025-10-13 00:00:00,ETH/USD,4156.59,4295.78,4041.32,4244.29,19546.936456,82962866.93083623
1760227200,2025-10-12 00:00:00,ETH/USD,3751.07,4201.45,3698.97,4156.76,31117.407031,129347592.85017957
1760140800,2025-10-11 00:00:00,ETH/USD,3835.40,3887.53,3648.48,3749.86,31171.107655,116887289.75117831
1760054400,2025-10-10 00:00:00,ETH/USD,4371.11,4396.47,3436.29,3836.70,39280.014590,150705631.977453
1759968000,2025-10-09 00:00:00,ETH/USD,4527.48,4532.78,4268.95,4371.00,19828.026183,86668302.445893
1759881600,2025-10-08 00:00:00,ETH/USD,4450.20,4559.30,4412.73,4527.76,22824.809383,103345258.93197209
1759795200,2025-10-07 00:00:00,ETH/USD,4685.98,4758.23,4428.83,4449.38,29034.369726,129184943.9714699
1759708800,2025-10-06 00:00:00,ETH/USD,4515.02,4738.43,4490.42,4685.98,19778.768990,92682915.9117602
1759622400,2025-10-05 00:00:00,ETH/USD,4490.61,4619.33,4469.60,4515.02,10866.243784,49061308.00963569
1759536000,2025-10-04 00:00:00,ETH/USD,4515.53,4521.69,4443.21,4490.24,6104.459594,27410488.64736256
1759449600,2025-10-03 00:00:00,ETH/USD,4487.36,4595.53,4431.95,4515.84,16291.549895,73570032.6778368
1759363200,2025-10-02 00:00:00,ETH/USD,4350.33,4529.64,4335.10,4487.79,18136.972938,81394925.78142701
1759276800,2025-10-01 00:00:00,ETH/USD,4146.07,4356.46,4124.39,4350.78,17990.960831,78274712.56429818
1759190400,2025-09-30 00:00:00,ETH/USD,4218.84,4249.38,4093.67,4145.29,12878.267524,53384153.58456197
1759104000,2025-09-29 00:00:00,ETH/USD,4143.89,4238.75,4077.55,4218.84,14979.979599,63198137.13144516
1759017600,2025-09-28 00:00:00,ETH/USD,4020.70,4146.30,3964.44,4144.67,6379.74823974,26441951.136803187
1758931200,2025-09-27 00:00:00,ETH/USD,4034.30,4040.30,3974.80,4019.50,5531.88619625,22235416.565826874
1758844800,2025-09-26 00:00:00,ETH/USD,3876.10,4070.90,3869.70,4034.40,21003.5143355,84736578.2351412
1758758400,2025-09-25 00:00:00,ETH/USD,4154.30,4162.40,3820.00,3874.60,43358.81857781,167998078.46158263
1758672000,2025-09-24 00:00:00,ETH/USD,4165.30,4208.10,4075.20,4153.90,11501.8802245,47777660.26455055
1758585600,2025-09-23 00:00:00,ETH/USD,4202.60,4231.50,4117.50,4165.30,14124.65607495,58833429.94898924
1758499200,2025-09-22 00:00:00,ETH/USD,4446.30,4457.90,4059.20,4202.60,23180.99477042,97420448.6221671
1758412800,2025-09-21 00:00:00,ETH/USD,4482.30,4500.40,4417.80,4447.80,5216.30221064,23201068.972484596
1758326400,2025-09-20 00:00:00,ETH/USD,4471.00,4511.30,4456.40,4482.30,6781.7373112,30397781.14999176
1758240000,2025-09-19 00:00:00,ETH/USD,4589.6,4621.7,4439.0,4471.1,12688.91860474,56733423.97365302
1758153600,2025-09-18 00:00:00,ETH/USD,4592.5,4645.6,4555.2,4589.6,14349.89080414,65860258.834680945
1758067200,2025-09-17 00:00:00,ETH/USD,4502.7,4618.8,4380.0,4592.3,20764.24652727,95355649.32718202
1757980800,2025-09-16 00:00:00,ETH/USD,4524.5,4539.0,4426.1,4502.7,9846.70628156,44336764.37398021
1757894400,2025-09-15 00:00:00,ETH/USD,4605.9,4671.2,4465.0,4524.8,12183.93850312,55129884.938917376
1757808000,2025-09-14 00:00:00,ETH/USD,4669.1,4694.1,4580.5,4605.9,4185.85665145,19279637.15091355
1757721600,2025-09-13 00:00:00,ETH/USD,4715.2,4768.6,4607.8,4669.1,7273.91998208,33962659.788329735
1757635200,2025-09-12 00:00:00,ETH/USD,4460.9,4749.9,4452.4,4715.1,19433.22783933,91629612.5852249
1757548800,2025-09-11 00:00:00,ETH/USD,4350.4,4481.0,4339.8,4460.8,13226.23558063,58999591.67807431
1757462400,2025-09-10 00:00:00,ETH/USD,4309.9,4453.9,4285.1,4350.0,14635.43523364,63664143.266334005
1757376000,2025-09-09 00:00:00,ETH/USD,4306.1,4381.6,4277.5,4310.0,10110.70851293,43577153.6907283
1757289600,2025-09-08 00:00:00,ETH/USD,4304.6,4383.9,4278.4,4306.1,9296.48941827,40031613.084012456
1757203200,2025-09-07 00:00:00,ETH/USD,4274.3,4335.0,4270.9,4306.1,6035.98580702,25991558.483608823
1757116800,2025-09-06 00:00:00,ETH/USD,4307.2,4328.7,4238.2,4274.0,6834.15651212,29209184.93280088
1757030400,2025-09-05 00:00:00,ETH/USD,4298.1,4490.9,4127.8,4307.3,26897.28867233,115854691.49832702
1756944000,2025-09-04 00:00:00,ETH/USD,4452.7,4483.9,4265.9,4297.8,15951.21989903,68555152.88205114
1756857600,2025-09-03 00:00:00,ETH/USD,4326.7,4492.1,4283.5,4452.8,14886.64257151,66287242.04241973
1756771200,2025-09-02 00:00:00,ETH/USD,4314.8,4416.5,4257.7,4326.3,15770.23639377,68226773.71036716
1756684800,2025-09-01 00:00:00,ETH/USD,4391.6,4491.2,4212.2,4315.0,11617.94104845,50131415.62406175
1756598400,2025-08-31 00:00:00,ETH/USD,4374.1,4498.2,4374.0,4393.1,14569.26685117,64004246.20387493
1756512000,2025-08-30 00:00:00,ETH/USD,4361.0,4415.1,4258.9,4374.4,5653.98175383,24732777.78395395
1756425600,2025-08-29 00:00:00,ETH/USD,4512.4,4517.0,4259.6,4359.6,21854.44231346,95276626.70976022
1756339200,2025-08-28 00:00:00,ETH/USD,4507.7,4633.0,4430.0,4512.5,13782.10932581,62191768.33271763
1756252800,2025-08-27 00:00:00,ETH/USD,4602.1,4663.3,4479.1,4508.3,14507.26815703,65403117.03233835
1756166400,2025-08-26 00:00:00,ETH/USD,4376.5,4633.3,4314.3,4601.1,19381.22311202,89174945.66071524
1756080000,2025-08-25 00:00:00,ETH/USD,4780.9,4797.1,4336.9,4378.0,21727.64115380,95123612.9713364
1755993600,2025-08-24 00:00:00,ETH/USD,4776.6,4955.3,4708.6,4779.6,14304.59525246,68370243.46865782
1755907200,2025-08-23 00:00:00,ETH/USD,4829.5,4829.5,4658.7,4776.8,16451.25539111,78584356.75225425
1755820800,2025-08-22 00:00:00,ETH/USD,4223.7,4885.4,4207.0,4829.6,28047.68484409,135459098.72301707
1755734400,2025-08-21 00:00:00,ETH/USD,4335.1,4339.8,4204.3,4224.3,14523.67505376,61352360.52959837
1755648000,2025-08-20 00:00:00,ETH/USD,4075.8,4378.8,4064.1,4335.4,20875.28252728,90502699.8687697
1755561600,2025-08-19 00:00:00,ETH/USD,4315.9,4355.4,4067.6,4075.5,28195.77837615,114911894.77199933
1755475200,2025-08-18 00:00:00,ETH/USD,4475.0,4483.6,4228.8,4315.9,22545.96560456,97306132.9527205
1755388800,2025-08-17 00:00:00,ETH/USD,4425.1,4578.1,4398.7,4475.7,12144.05781523,54353159.56362491
'